time,open,high,low,close,Volume,Volume MA
2020-06-16T09:00:00-03:00,5119.5,5258,5052,5203.925,376620,351927.25
2020-06-17T09:00:00-03:00,5225,5275.5,5185.5,5253.722,298950,352256.75
2020-06-18T09:00:00-03:00,5309,5391,5295,5368.848,309025,354969
2020-06-19T09:00:00-03:00,5330,5383.5,5291,5300.714,351360,351809
2020-06-22T09:00:00-03:00,5295,5300,5200.5,5263.629,262685,348248
2020-06-23T09:00:00-03:00,5208,5228.5,5135.5,5144.425,278340,353238.75
2020-06-24T09:00:00-03:00,5180,5355,5166,5320.843,333335,351224.75
2020-06-25T09:00:00-03:00,5382,5388,5268,5334.638,347475,350956
2020-06-26T09:00:00-03:00,5381.5,5493.5,5368.5,5458.819,335750,352529.5
2020-06-29T09:00:00-03:00,5460,5473,5390,5437.563,270445,344361.25
2020-06-30T09:00:00-03:00,5430,5513.5,5410.5,5440.036,327865,344030
2020-07-01T09:00:00-03:00,5472.5,5482,5305.5,5334.281,281190,340937
2020-07-02T09:00:00-03:00,5290.5,5382,5273.5,5367.419,298615,332172.75
2020-07-03T09:00:00-03:00,5353.5,5388,5312,5317.35,127450,317716
2020-07-06T09:00:00-03:00,5276,5365.5,5268.5,5359.86,216840,309478
2020-07-07T09:00:00-03:00,5395,5409,5296,5373.897,280040,307488
2020-07-08T09:00:00-03:00,5368.5,5400,5324,5351.517,271590,305638.75
2020-07-09T09:00:00-03:00,5343.5,5383.5,5251,5367.395,352225,303272.75
2020-07-10T09:00:00-03:00,5371,5399,5316.5,5325.986,196485,294003
2020-07-13T09:00:00-03:00,5318.5,5414,5314.5,5361.829,241525,287890.5
2020-07-14T09:00:00-03:00,5388,5458,5335,5339.561,326820,285400.5
2020-07-15T09:00:00-03:00,5314,5394.5,5296,5375.839,276110,284258.5
2020-07-16T09:00:00-03:00,5383.5,5397,5311,5322.312,244945,281054.5
2020-07-17T09:00:00-03:00,5333,5395,5319.5,5385.184,194675,273220.25
2020-07-20T09:00:00-03:00,5369,5395,5331,5336.048,175785,268875.25
2020-07-21T09:00:00-03:00,5308,5313,5168,5176.063,357080,272812.25
2020-07-22T09:00:00-03:00,5178,5204.5,5085.5,5104.676,314040,271847.5
2020-07-23T09:00:00-03:00,5140,5228,5126,5190.627,299495,269448.5
2020-07-24T09:00:00-03:00,5219,5254,5161,5192.44,262470,265784.5
2020-07-27T09:00:00-03:00,5192.5,5224.5,5143,5163.707,220060,263265.25
2020-07-28T09:00:00-03:00,5187,5205,5136.5,5140.866,220285,257886.25
2020-07-29T09:00:00-03:00,5144,5184.5,5116,5152.689,250620,256357.75
2020-07-30T09:00:00-03:00,5205,5216.5,5145,5150.644,258490,254351.5
2020-07-31T09:00:00-03:00,5195,5235,5169,5219.142,303565,263157.25
2020-08-03T09:00:00-03:00,5231,5341.5,5217,5325.68,294530,267041.75
2020-08-04T09:00:00-03:00,5344.5,5382.5,5280,5313.749,306070,268343.25
