time,open,high,low,close,Volume,Volume MA
2020-04-14T09:00:00-03:00,80250,81715,79800,79932,147760,171787.25
2020-04-15T09:00:00-03:00,78050,80255,77820,79281,147765,170793
2020-04-16T09:00:00-03:00,80000,80400,77600,78045,161125,170316.5
2020-04-17T09:00:00-03:00,81020,81025,77955,79187,140865,167455.5
2020-04-20T09:00:00-03:00,76980,80455,76785,79136,155800,164933.75
2020-04-22T09:00:00-03:00,78675,81490,78355,80795,149385,163838
2020-04-23T09:00:00-03:00,80600,81980,78710,79774,177565,165690
2020-04-24T09:00:00-03:00,79500,79960,71800,75330,314525,171876.75
2020-04-27T09:00:00-03:00,78010,78985,76435,78341,174755,171730
2020-04-28T09:00:00-03:00,79980,81700,79700,81473,164985,173174.25
2020-04-29T09:00:00-03:00,82000,84180,81810,83477,158180,175800.75
2020-04-30T09:00:00-03:00,82805,83000,79985,80525,182780,177146.75
2020-05-04T09:00:00-03:00,77375,79350,77070,79098,124630,174737.5
2020-05-05T09:00:00-03:00,80200,81300,79235,79630,133085,171229.5
2020-05-06T09:00:00-03:00,80255,80485,78135,79219,152770,170744.5
2020-05-07T09:00:00-03:00,80300,80890,78120,78558,205355,173048
2020-05-08T09:00:00-03:00,79400,80950,79120,80493,128790,169047.25
2020-05-11T09:00:00-03:00,79400,80840,78745,79026,117610,166371
2020-05-12T09:00:00-03:00,79600,80440,77555,77916,160790,164321.5
2020-05-13T09:00:00-03:00,79000,79165,77205,78011,135305,161691.25
2020-05-14T09:00:00-03:00,77560,79555,75680,79113,202730,164439.75
2020-05-15T09:00:00-03:00,78650,79700,77290,77721,156895,164896.25
2020-05-18T09:00:00-03:00,79600,81625,79405,81373,129750,163327.5
2020-05-19T09:00:00-03:00,81380,82330,80580,80791,126915,162630
2020-05-20T09:00:00-03:00,81680,82430,80925,81273,113865,160533.25
2020-05-21T09:00:00-03:00,81000,83485,80870,83104,144115,160269.75
2020-05-22T09:00:00-03:00,83000,84420,81500,82436,141290,158456
2020-05-25T09:00:00-03:00,85250,86100,84735,85860,101425,147801
2020-05-26T09:00:00-03:00,86500,87455,85375,85721,140840,146105.25
2020-05-27T09:00:00-03:00,86700,88250,86000,87982,167920,146252
2020-05-28T09:00:00-03:00,87975,88200,86620,87033,174240,147055
2020-05-29T09:00:00-03:00,86700,87600,85370,87209,169960,146414
2020-06-01T09:00:00-03:00,87600,89165,86685,88776,118615,146113.25
2020-06-02T09:00:00-03:00,89600,91495,89300,91164,141620,146540
2020-06-03T09:00:00-03:00,91500,93845,91500,92923,185160,148159.5
2020-06-04T09:00:00-03:00,92255,94260,92000,93884,149285,145356
2020-06-05T09:00:00-03:00,95400,97465,94350,94583,196635,148748.25
2020-06-08T09:00:00-03:00,95700,98100,95470,97588,132820,149508.75
2020-06-09T09:00:00-03:00,96525,97380,95510,96726,144005,148669.5
2020-06-10T09:00:00-03:00,97000,97950,94330,94641,192725,151540.5
2020-06-12T09:00:00-03:00,91395,93375,90690,92604,223305,152569.25
2020-06-15T09:00:00-03:00,90600,93185,89950,92469,138020,151625.5
2020-06-16T09:00:00-03:00,94045,95435,92745,93522,142145,152245.25
2020-06-17T09:00:00-03:00,93895,96850,93885,95646,169915,154395.25
