"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"10.05.2018","86.312","84.865","86.680","84.680","96,17K","1,84%"
"11.05.2018","85.585","86.415","86.830","85.505","81,50K","-0,84%"
"14.05.2018","85.585","85.920","86.465","85.005","92,29K","0,00%"
"15.05.2018","85.584","85.410","85.915","84.105","109,26K","-0,00%"
"16.05.2018","86.873","85.590","87.080","85.220","84,49K","1,51%"
"17.05.2018","83.980","86.350","86.440","83.560","140,18K","-3,33%"
"18.05.2018","83.374","84.190","84.200","81.635","148,89K","-0,72%"
"21.05.2018","82.231","83.720","84.200","81.835","102,43K","-1,37%"
"22.05.2018","83.042","82.505","83.755","81.770","131,16K","0,99%"
"23.05.2018","81.090","82.000","82.390","80.985","105,47K","-2,35%"
"24.05.2018","80.376","79.555","80.545","79.100","135,90K","-0,88%"
"25.05.2018","79.077","80.320","80.890","78.750","104,84K","-1,62%"
"28.05.2018","75.489","78.350","78.660","75.130","134,62K","-4,54%"
"29.05.2018","76.078","74.800","77.375","74.800","149,68K","0,78%"
"30.05.2018","76.857","76.450","77.285","75.575","122,01K","1,02%"
"01.06.2018","77.313","77.605","78.295","75.435","126,91K","0,59%"
"04.06.2018","78.622","78.300","78.760","77.930","73,60K","1,69%"
"05.06.2018","76.617","78.455","78.955","76.405","111,79K","-2,55%"
"06.06.2018","76.038","76.850","77.055","75.360","129,27K","-0,76%"
"07.06.2018","73.857","75.800","76.125","71.070","215,83K","-2,87%"
"08.06.2018","72.838","73.930","74.105","71.560","156,23K","-1,38%"
"11.06.2018","72.314","72.950","73.725","71.830","103,68K","-0,72%"
"12.06.2018","72.790","72.085","73.340","71.620","89,09K","0,66%"
"13.06.2018","71.695","72.800","73.220","71.180","12,23K","-1,50%"
"14.06.2018","72.107","73.250","73.440","71.770","99,03K","0,57%"
"15.06.2018","71.205","71.695","72.075","70.150","104,97K","-1,25%"
"18.06.2018","70.539","70.695","70.970","69.925","51,99K","-0,94%"
"19.06.2018","72.014","69.280","72.790","69.280","102,34K","2,09%"
"20.06.2018","72.684","72.235","73.185","71.665","92,25K","0,93%"
"21.06.2018","70.594","72.400","72.700","70.300","74,52K","-2,88%"
"22.06.2018","71.159","70.700","71.635","70.400","57,79K","0,80%"
"25.06.2018","71.564","70.870","72.145","70.230","71,96K","0,57%"
"26.06.2018","71.877","71.700","72.170","70.625","93,97K","0,44%"
"27.06.2018","70.916","72.020","72.520","70.510","85,69K","-1,34%"
"28.06.2018","72.230","70.810","72.640","70.670","79,93K","1,85%"
"29.06.2018","73.162","72.880","73.475","72.530","76,49K","1,29%"
"02.07.2018","73.294","72.400","73.610","72.170","47,57K","0,18%"
"03.07.2018","74.174","73.825","75.015","73.650","73,90K","1,20%"
"04.07.2018","75.075","74.105","75.375","73.795","39,53K","1,21%"
"05.07.2018","74.883","75.790","75.810","74.070","72,30K","-0,26%"
"06.07.2018","75.538","74.600","75.665","74.310","53,43K","0,87%"
"10.07.2018","75.289","75.730","76.190","74.515","57,38K","-0,33%"
"11.07.2018","74.657","74.280","75.450","74.215","69,66K","-0,84%"
"12.07.2018","76.184","75.205","76.500","75.055","69,66K","2,05%"
"13.07.2018","77.028","76.335","77.200","75.810","73,65K","1,11%"
"16.07.2018","77.058","76.795","77.270","76.370","67,60K","0,04%"
"17.07.2018","78.487","77.060","78.890","76.760","78,74K","1,85%"
"18.07.2018","77.553","78.380","78.760","77.340","71,04K","-1,19%"
"19.07.2018","77.759","77.295","78.950","76.100","115,71K","0,27%"
"20.07.2018","78.835","79.425","80.335","78.500","115,87K","1,38%"
"23.07.2018","78.182","78.635","78.865","78.020","50,03K","-0,83%"
"24.07.2018","79.474","79.050","79.785","78.960","81,63K","1,65%"
"25.07.2018","80.454","79.315","80.710","79.155","77,05K","1,23%"
"26.07.2018","79.595","80.485","80.675","79.225","80,60K","-1,07%"
"27.07.2018","80.067","80.190","80.490","79.610","62,09K","0,59%"
"30.07.2018","80.452","80.200","80.690","79.850","51,87K","0,48%"
"31.07.2018","79.300","80.300","80.425","79.130","73,22K","-1,43%"
"01.08.2018","79.397","79.170","79.890","78.870","66,88K","0,12%"
"02.08.2018","79.744","78.700","80.080","78.540","61,91K","0,44%"
"03.08.2018","81.644","80.500","81.935","80.260","104,08K","2,38%"
"06.08.2018","81.140","81.675","82.095","80.985","59,84K","-0,62%"
"07.08.2018","80.288","81.660","81.885","79.945","100,47K","-1,05%"
"08.08.2018","79.152","80.550","80.985","78.810","85,03K","-1,41%"
"09.08.2018","78.766","79.060","79.470","78.110","83,43K","-0,49%"
"10.08.2018","76.427","77.990","78.340","76.015","127,86K","-2,97%"
"13.08.2018","77.513","76.100","77.910","75.400","111,82K","1,42%"
"14.08.2018","78.656","78.140","78.765","77.610","83,66K","1,47%"
"15.08.2018","77.283","77.885","77.885","76.835","20,88K","-1,75%"
